"No"	"Study_ID"	"Sample_No"	"Sample_NoR"	"Reference"	"Publication_Year"	"Publication_Type"	"Design_for_Effect_Size"	"Effect_Size_Design_Code"	"Study_Design_Code"	"Experiment_Dummy"	"PrePost_within_Experiment_Dummy"	"Treatment_PrePost_Dummy"	"Control_PrePost_Dummy"	"Control_Random_Assignment_Dummy"	"Pharmacologic_vs._Psychosocial_intervention"	"Intervention_Type_Code"	"Clinical_vs._Nonclinical"	"Sample_Type_Code"	"Intervention_Type"	"Intervention_Type_recode"	"Ongoing_Patient_Dummy"	"Pharmacological_Intervention_Dummy"	"CognitiveBehavioral_Therapy_Dummy"	"SupportiveHumanistic_Therapy_Dummy"	"Psychoanalytic_Therapy_Dummy"	"Hospitalization_NOS_Dummy"	"Mixed_Interventionn_Dummy"	"Other_Dummy"	"Client_mean_age"	"Sample_size"	"Male_N"	"Female_N"	"FemaleP"	"Overall_N"	"Treatment_N"	"Control_N"	"Full_Sample_Dummy"	"Longitudinal_Study_Dummy"	"Full_with_different_Followup_length"	"ExperimentControl_PrePost_Subsample_different_length_not_included"	"Subsample_responders"	"Subsample_nonresponders"	"Notes_on_Sample"	"Duration_of_intervention_weeks"	"Duration_of_Intervention"	"Followup_time"	"Followup_time_code"	"Long_term_followup"	"Personality_measure_used"	"Personality_domain_assessed"	"Direction"	"Direction_sign"	"N"	"E"	"O"	"A"	"C"	"Total_Scale"	"Client_type"	"Disorder_type"	"Disorder_Type_code"	"depression_dummy"	"anxiety_dummy"	"personaliity_disorder_dummy"	"eating_disorder_dummy"	"substance_use_dummy"	"mixed_disorders_dummy"	"other_dummy"	"Pretest_Control_Mean"	"Pretest_SD"	"Posttest_Treatment_Mean"	"Posttest_SD"	"Effect_Size_Cohens_d"	"Effect_Size_correct_direction"	"Effect_Size_recomputed"	"Effect_Size_recomputed_correct_direction"	"pvalue"	"Reliability_of_Criterion"	"Sample_SD_of_criterion"	"Population_SD_of_criterion"	"d_to_r"	"corrected_r"	"Corrected_Effect_Size_d"	"Notes"
"1759"	1806	176	296	292	"Adler (2009)"	2009	"dissertation"	"pre-post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"mostly cognitive-behavioral, integrative, and psychodynamic"	"mixed"	0	0	0	0	0	0	1	0	"35.68"	"47 completed pre-test, 37 completed post-test"	"14"	"33"	70.2	47	47	47	NA	NA	NA	NA	NA	NA	"outpatient sample"	"12 sessions"	14.7	"immediate after"	0	0	"Big Five Inventory (BFI)"	"Agreeableness"	"+"	1	0	0	0	1	0	0	NA	"outpatient in mental health clinic"	6	0	0	0	0	0	1	0	"3.73"	"0.67"	"3.85"	"0.64"	NA	NA	0.17910447761194	0.17910447761194	NA	NA	NA	NA	NA	NA	NA	NA
"1760"	1807	176	296	292	"Adler (2009)"	2009	"dissertation"	"pre-post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"mostly cognitive-behavioral, integrative, and psychodynamic"	"mixed"	0	0	0	0	0	0	1	0	"35.68"	"47 completed pre-test, 37 completed post-test"	"14"	"33"	70.2	47	47	47	NA	NA	NA	NA	NA	NA	"outpatient sample"	"12 sessions"	14.7	"immediate after"	0	0	"Big Five Inventory (BFI)"	"Conscientiousness"	"+"	1	0	0	0	0	1	0	NA	"outpatient in mental health clinic"	6	0	0	0	0	0	1	0	"3.38"	"0.67"	"3.43"	"0.65"	NA	NA	0.0746268656716422	0.0746268656716422	NA	NA	NA	NA	NA	NA	NA	NA
"433"	433	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	43	20	23	1	0	1	0	0	0	"Imipramine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Novelty seeking"	"+"	1	0	0	0	0	1	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"17.899999999999999"	"6.8"	"18.399999999999999"	"7.8"	0.0735294117647059	0.0735294117647059	0.0703315821387215	0.0703315821387215	NA	NA	7.35351251725755	NA	0.0367398846519331	NA	0.0735294117647059	NA
"434"	434	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	43	20	23	1	0	1	0	0	0	"Imipramine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Harm avoidance"	"-"	-1	1	1	0	0	0	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"22.7"	"7.1"	"23.1"	"7.3"	0.0563380281690144	-0.0563380281690144	0.0569468400643716	-0.0569468400643716	NA	NA	7.20800706531691	NA	-0.0281578447684121	NA	-0.0563380281690144	NA
"435"	435	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	43	20	23	1	0	1	0	0	0	"Imipramine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Reward dependence"	"+"	1	0	0	0	1	0	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"15"	"4"	"14.8"	"3.6"	-0.0499999999999998	-0.0499999999999998	-0.0536199617138644	-0.0536199617138644	NA	NA	3.79061742830965	NA	-0.024992191160203	NA	-0.0499999999999998	NA
"436"	436	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	43	20	23	1	0	1	0	0	0	"Imipramine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Persistence"	"+"	1	0	1	0	0	1	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"3.8"	"1.6"	"5.8"	"1.7"	1.25	1.25	1.24352137513227	1.24352137513227	NA	NA	1.65441021839558	NA	0.52999894000318	NA	1.25	NA
"437"	437	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	43	20	23	1	0	1	0	0	0	"Imipramine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Self-directedness"	"+"	1	1	0	0	0	1	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"23.8"	"10.199999999999999"	"24.9"	"9.1999999999999993"	0.107843137254902	0.107843137254902	0.115547214714327	0.115547214714327	NA	NA	9.6762722110552	NA	0.0538433497151798	NA	0.107843137254902	NA
"438"	438	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	43	20	23	1	0	1	0	0	0	"Imipramine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Cooperativeness"	"+"	1	0	0	0	1	0	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"39"	"7.7"	"39.1"	"7.3"	0.0129870129870132	0.0129870129870132	0.0136232749011541	0.0136232749011541	NA	NA	7.4880229570213	NA	0.00649336959645083	NA	0.0129870129870132	NA
"439"	439	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	43	20	23	1	0	1	0	0	0	"Imipramine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Self-transcendence"	"+"	1	0	0	0	0	0	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"21.1"	"4.0999999999999996"	"19.8"	"4.3"	-0.317073170731708	-0.317073170731708	-0.317446686664059	-0.317446686664059	NA	NA	4.208498950295	NA	-0.15658105433828	NA	-0.317073170731708	NA
"440"	440	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	45	22	23	1	0	1	0	0	0	"Fluoxetine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Novelty seeking"	"+"	1	0	0	0	0	1	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"17.899999999999999"	"6.8"	"19.8"	"3.2"	0.279411764705883	0.279411764705883	0.363076474171927	0.363076474171927	NA	NA	5.27459906996136	NA	0.138362149538384	NA	0.279411764705883	NA
"441"	441	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	45	22	23	1	0	1	0	0	0	"Fluoxetine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Harm avoidance"	"-"	-1	1	1	0	0	0	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"22.7"	"7.1"	"22.4"	"7.5"	-0.0422535211267607	0.0422535211267607	-0.042051759255665	0.042051759255665	NA	NA	7.30738715114672	NA	0.0211220472818356	NA	0.0422535211267607	NA
"442"	442	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	45	22	23	1	0	1	0	0	0	"Fluoxetine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Reward dependence"	"+"	1	0	0	0	1	0	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"15"	"4"	"14.8"	"5.4"	-0.0499999999999998	-0.0499999999999998	-0.0432032738953286	-0.0432032738953286	NA	NA	4.76791602860348	NA	-0.024992191160203	NA	-0.0499999999999998	NA
"443"	443	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	45	22	23	1	0	1	0	0	0	"Fluoxetine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Persistence"	"+"	1	0	1	0	0	1	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"3.8"	"1.6"	"4.8"	"2.2999999999999998"	0.625	0.625	0.518460361922581	0.518460361922581	NA	NA	1.98915665196246	NA	0.298274993135947	NA	0.625	NA
"444"	444	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	45	22	23	1	0	1	0	0	0	"Fluoxetine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Self-directedness"	"+"	1	1	0	0	0	1	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"23.8"	"10.199999999999999"	"28.3"	"10"	0.441176470588235	0.441176470588235	0.455661061304196	0.455661061304196	NA	NA	10.098169302196	NA	0.215409655911161	NA	0.441176470588235	NA
"445"	445	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	45	22	23	1	0	1	0	0	0	"Fluoxetine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Cooperativeness"	"+"	1	0	0	0	1	0	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"39"	"7.7"	"37.1"	"11"	-0.246753246753247	-0.246753246753247	-0.205537100773944	-0.205537100773944	NA	NA	9.53218538109362	NA	-0.122448202603742	NA	-0.246753246753247	NA
"446"	446	29	NA	NA	"Agosti, McGrath (2002)"	2002	"journal article"	"experimental"	1	1	1	0	0	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	45	22	23	1	0	1	0	0	0	"Fluoxetine group vs. placebo"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Self-transcendence"	"+"	1	0	0	0	0	0	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"21.1"	"4.0999999999999996"	"18.7"	"4.5"	-0.585365853658537	-0.585365853658537	-0.570972005138071	-0.570972005138071	NA	NA	4.30929228528305	NA	-0.280898753270714	NA	-0.585365853658537	NA
"447"	447	29	57	60	"Agosti, McGrath (2002)"	2002	"journal article"	"pre-post test"	2	1	0	1	1	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	22	22	22	0	0	0	0	0	0	"Fluoxetine group"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Novelty seeking"	"+"	1	0	0	0	0	1	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"20.6"	"3.2"	"19.8"	"3.2"	-0.25	-0.25	-0.25	-0.25	NA	NA	3.2	NA	-0.124034734589209	NA	-0.25	NA
"448"	448	29	57	60	"Agosti, McGrath (2002)"	2002	"journal article"	"pre-post test"	2	1	0	1	1	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	22	22	22	0	0	0	0	0	0	"Fluoxetine group"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Harm avoidance"	"-"	-1	1	1	0	0	0	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"22.6"	"3.3"	"22.4"	"7.5"	-0.0606060606060615	0.0606060606060615	-0.0606060606060615	0.0606060606060615	NA	NA	5.79396237474839	NA	0.0302891266407696	NA	0.0606060606060615	NA
"449"	449	29	57	60	"Agosti, McGrath (2002)"	2002	"journal article"	"pre-post test"	2	1	0	1	1	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"41.6"	"20 treated with Imipramine, 22 treated with Fluoxetine, 23 with Placebo"	"55 (entered)"	"99 (entered)"	64	22	22	22	0	0	0	0	0	0	"Fluoxetine group"	"10 weeks"	10	"8 weeks"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1987)"	"Reward dependence"	"+"	1	0	0	0	1	0	0	"outpatients"	"Major depression - atypical depression"	1	1	0	0	0	0	0	0	"11.3"	"2.4"	"14.8"	"5.4"	1.45833333333333	1.45833333333333	1.45833333333333	1.45833333333333	NA	NA	4.17851648315524	NA	0.589172157449442	NA	1.45833333333333	NA
